str,en_US,en_HK,en_SG,en_TH,zh_HK,zh_SG,th_TH,id_HK,id_SG
desc_reward_term_of_use_4,"""Every time you make a deposit service at a Kiosk by presenting your Dragon Rewards App Top-Up OTP number / QR code, Reward Points will be awarded for the Deposit Amount at the rate of:\n<ul><li> At Our Kiosks in Hong Kong (except at AEON Supermarkets): 1 Reward Point for every HK$0.1 deposited</li><li>At Our Kiosks in Singapore: 1 Reward Point for every S$0.1 deposited</li><ul><br>Unless otherwise specified, Reward Points shall be awarded and updated within 20 seconds upon completion of the deposit transaction at the Kiosk. You may check your balance of your Reward Points by logging on to the Dragon Rewards App. If you would like to print out your past transaction records (available up to the last (18) months), please check the “History” section of the Dragon Rewards App. Reward Points will not be awarded in decimals. For example, if the Deposit Amount is $53.9, five hundred and thirty nine (539) Reward Points will be issued. Reward Points are valid for one (1) year from the date of issue, after which they automatically expire. We have the right to (a) suspend (b) terminate your membership or service at any time; and (c) terminate your membership; at any time at our sole discretion without prior notice to you. Reasonable and conclusive evidence shall be provided to support such actions.""",,,,“每次您通過出示您的 Dragon Rewards App 充值 OTP 號碼/QR 碼在自助服務站進行存款服務時，獎勵積分將按以下比率獎勵：\n<ul><li> 在我們的 香港的服務站（AEON Supermarkets 除外）：每存入 0.1 港元可獲得 1 個獎勵積分</li><li>我們在新加坡的服務站：每存入 0.1 新元可獲得 1 個獎勵積分</li><ul><br> 除非另有說明，獎勵積分將在Kiosk存款交易完成後20秒內獎勵和更新。您可以登錄Dragon Rewards App查看您的獎勵積分餘額。如果您想打印您的 過去的交易記錄（最近（18）個月），請查看 Dragon Rewards App 的“歷史記錄”部分。獎勵積分不會以小數形式授予。例如，如果存款金額為 $53.9，五百和 將發放三十九 (539) 個獎勵積分。獎勵積分自發放之日起一 (1) 年內有效 問題，之後它們會自動過期。 我們有權隨時 (a) 暫停 (b) 終止您的會員資格或服務； (c) 終止您的會員資格； 隨時由我們自行決定，恕不另行通知您。 應提供合理和確鑿的證據來支持此類行為。”,“每次您通过出示您的Dragon Rewards App 充值OTP 号码/QR 码在自助服务站进行存款服务时，奖励积分将按以下比率奖励：\n<ul><li> 在我们的香港的服务站（AEON Supermarkets 除外）：每存入0.1 港元可获得1 个奖励积分</li><li>我们在新加坡的服务站：每存入0.1 新元可获得1 个奖励积分</li><ul ><br> 除非另有说明，奖励积分将在Kiosk存款交易完成后20秒内奖励和更新。您可以登录Dragon Rewards App查看您的奖励积分余额。如果您想打印您的过去的交易记录（最近（18）个月），请查看Dragon Rewards App 的“历史记录”部分。奖励积分不会以小数形式授予。例如，如果存款金额为$53.9，五百和将发放三十九(539) 个奖励积分。奖励积分自发放之日起一 (1) 年内有效问题，之后它们会自动过期。 我们有权随时(a) 暂停(b) 终止您的会员资格或服务； (c) 终止您的会员资格； 随时由我们自行决定，恕不另行通知您。 应提供合理和确凿的证据来支持此类行为。”,,"Setiap kali Anda melakukan layanan deposit di Kios dengan menunjukkan nomor OTP / kode QR Top-Up Aplikasi Dragon Rewards Anda, Poin Reward akan diberikan untuk Jumlah Deposit dengan tarif:\n<ul><li> Di Kami Kios di Hong Kong (kecuali di AEON Supermarket): 1 Poin Reward untuk setiap HK$0,1 yang disetorkan</li><li>Di Kios Kami di Singapura: 1 Poin Reward untuk setiap S$0,1 yang disetorkan</li><ul><br> Kecuali ditentukan lain, Poin Reward akan diberikan dan diperbarui dalam waktu 20 detik setelah selesainya transaksi deposit di Kios. Anda dapat memeriksa saldo Poin Reward Anda dengan masuk ke Aplikasi Dragon Rewards. Jika Anda ingin mencetak catatan transaksi masa lalu (tersedia hingga (18) bulan terakhir), silakan periksa bagian Riwayat"" di Aplikasi Dragon Rewards. Poin Reward tidak akan diberikan dalam desimal. Misalnya, jika Jumlah Deposit adalah $53,9, lima ratus dan tiga puluh sembilan (539) Poin Reward akan diterbitkan. Poin Reward berlaku selama satu (1) tahun sejak tanggal penerbitan, setelah itu secara otomatis akan habis masa berlakunya. Kami berhak untuk (a) menangguhkan (b) mengakhiri keanggotaan atau layanan Anda kapan saja; dan (c) mengakhiri keanggotaan Anda; kapan saja atas kebijakan kami sendiri tanpa pemberitahuan sebelumnya kepada Anda. Bukti yang masuk akal dan konklusif harus diberikan untuk mendukung tindakan tersebut.""",
desc_reward_term_of_use_5,"Upon accumulating certain Reward Points awarded to you, you may use your Reward Points to redeem E-Vouchers / E-Gift Cards within the Dragon Rewards App. The E-Voucher / E-Gift Card redeem rate is 10 Reward Points to HK$1.00. The E-Voucher / E-Gift Card may be used to exchange for an equivalent amount of goods or services at the applicable Retail Outlet on or before the expiry date stated on the E-Voucher / E-Gift Card. The E-Voucher / E-Gift Card shall be invalid after the expiry date. E-Vouchers / E-Gift Cards are not exchangeable for cash or other coupons. Unless otherwise specified in the E-Voucher / E-Gift Card Terms & Conditions, no change will be given either in cash or in other form when using the E-Voucher / E-Gift Card in your purchase. We reserve the right of final decision in case of any dispute arising from any E-Voucher / E-Gift Card. The use of E-Voucher and Redemption Voucher on your purchases may be subject to further restrictions imposed by us or Our Partners from time to time. Reward Points cannot be redeemed or exchanged for cash.",,,,在累積授予您的某些獎勵積分後，您可以使用您的獎勵積分在 Dragon Rewards App 中兌換電子優惠券/電子禮品卡。 電子優惠券/電子禮品卡兌換率為 10 積分兌換 1.00 港元。 電子優惠券/電子禮品卡可用於在電子優惠券/電子禮品卡上註明的有效期內或之前在適用的零售店兌換等量的商品或服務。 電子優惠券/電子禮品卡將在到期日後失效。 電子優惠券/電子禮品卡不可兌換現金或其他優惠券。 除非電子代金券/電子禮品卡條款和條件另有規定，否則在您購買時使用電子代金券/電子禮品卡不會以現金或其他形式找零。 如因任何電子禮券/電子禮品卡引起任何爭議，我們保留最終決定權。 在您的購買中使用電子優惠券和兌換優惠券可能會受到我們或我們的合作夥伴不時施加的進一步限制。 獎賞積分不可兌換或兌換現金。,在累积授予您的某些奖励积分后，您可以使用您的奖励积分在 Dragon Rewards App 中兑换电子优惠券/电子礼品卡。电子优惠券/电子礼品卡兑换率为 10 积分兑换 1.00 港元。电子优惠券/电子礼品卡可用于在电子优惠券/电子礼品卡上注明的有效期内或之前在适用的零售店兑换等量的商品或服务。电子优惠券/电子礼品卡将在到期日后失效。电子优惠券/电子礼品卡不可兑换现金或其他优惠券。除非电子代金券/电子礼品卡条款和条件另有规定，否则在您购买时使用电子代金券/电子礼品卡不会以现金或其他形式找零。如因任何电子礼券/电子礼品卡引起任何争议，我们保留最终决定权。在您的购买中使用电子优惠券和兑换优惠券可能会受到我们或我们的合作伙伴不时施加的进一步限制。奖赏积分不可兑换或兑换现金。,คุณสามารถใช้คะแนนรางวัลเพื่อแลก E-Vouchers / E-Gift Cards ภายในแอป Dragon Rewards อัตราการแลก E-Voucher / E-Gift Card คือ 10 Reward Points เป็น HK$1.00 สามารถใช้ E-Voucher / E-Gift Card เพื่อแลกเปลี่ยนเป็นสินค้าหรือบริการในจำนวนที่เทียบเท่าได้ที่ร้านค้าปลีกที่เกี่ยวข้องในหรือก่อนวันหมดอายุที่ระบุไว้ใน E-Voucher / E-Gift Card E-Voucher / E-Gift Card จะใช้ไม่ได้หลังจากวันหมดอายุ E-Voucher / E-Gift Card ไม่สามารถเปลี่ยนเป็นเงินสดหรือคูปองอื่นๆ ได้ เว้นแต่จะระบุไว้เป็นอย่างอื่นในข้อกำหนดและเงื่อนไขของ E-Voucher / E-Gift Card จะไม่มีการเปลี่ยนแปลงทั้งในรูปเงินสดหรือในรูปแบบอื่น ๆ เมื่อใช้ E-Voucher / E-Gift Card ในการซื้อของคุณ เราขอสงวนสิทธิ์ในการตัดสินขั้นสุดท้ายในกรณีที่มีข้อโต้แย้งใดๆ เกิดขึ้นจาก E-Voucher / E-Gift Card การใช้ E-Voucher และ Redemption Voucher ในการซื้อของคุณอาจอยู่ภายใต้ข้อจำกัดเพิ่มเติมที่กำหนดโดยเราหรือพันธมิตรของเราเป็นครั้งคราว คะแนนสะสมไม่สามารถแลกหรือเปลี่ยนเป็นเงินสดได้,"Setelah mengumpulkan Poin Reward tertentu yang diberikan kepada Anda, Anda dapat menggunakan Poin Reward Anda untuk menukarkan E-Voucher / Kartu E-Gift dalam Aplikasi Dragon Rewards. Tarif penukaran E-Voucher / Kartu E-Gift adalah 10 Poin Reward hingga HK$1,00. E-Voucher / E-Gift Card dapat digunakan untuk menukarkan barang atau jasa dengan jumlah yang setara di Retail Outlet yang berlaku pada atau sebelum tanggal kedaluwarsa yang tercantum pada E-Voucher / E-Gift Card. E-Voucher / E-Gift Card tidak berlaku lagi setelah tanggal kadaluwarsanya. E-Voucher / E-Gift Card tidak dapat ditukar dengan uang tunai atau kupon lainnya. Kecuali ditentukan lain dalam Syarat & Ketentuan E-Voucher/E-Gift Card, tidak ada perubahan yang akan diberikan baik secara tunai maupun dalam bentuk lain ketika menggunakan E-Voucher/E-Gift Card dalam pembelian Anda. Kami berhak mengambil keputusan akhir jika terjadi perselisihan apa pun yang timbul dari E-Voucher / E-Gift Card apa pun. Penggunaan E-Voucher dan Redemption Voucher pada pembelian Anda mungkin tunduk pada pembatasan lebih lanjut yang diberlakukan oleh kami atau Mitra Kami dari waktu ke waktu. Poin Reward tidak dapat ditukarkan atau ditukarkan dengan uang tunai.",
desc_reward_term_of_use_6,You may make donations to designated charitable organizations by using any amount of your Reward Points. The conversion rate is 10 Reward Points for every HK$1 donation.,,,,您可以使用任意數量的獎勵積分向指定的慈善組織捐款。 兌換率為每捐款港幣 1 元可獲 10 分獎賞積分。,您可以使用任意数量的奖励积分向指定的慈善组织捐款。兑换率为每捐款港币 1 元可获 10 分奖赏积分。,คุณสามารถบริจาคให้กับองค์กรการกุศลที่กำหนดโดยใช้คะแนนรางวัลของคุณเป็นจำนวนเท่าใดก็ได้ อัตราการแปลงคือ 10 คะแนนสะสมสำหรับการบริจาคทุกๆ HK$1,Anda dapat memberikan donasi ke organisasi amal yang ditunjuk dengan menggunakan Poin Reward Anda dalam jumlah berapa pun. Tingkat konversinya adalah 10 Poin Reward untuk setiap donasi HK$1.,
desc_reward_term_of_use_7,"""In the event that your Dragon Rewards App has been inactive for a period of one (1) year, we will, for your own and our protection, deem your account to be no longer in use. We will deactivate your account and all your accumulated Reward Points will be forfeited. Your personal information in our record will also be deleted. You may need to reapply for a new membership if you wish to rejoin the Program. Inactivity is defined by a period where neither of the following type of transaction occurs:\n<ul><li> Top-up of points credited</li><li>Usage/Spending of points balance. </li></ul><br>As the Dragon Rewards Program operates through systems which rely on communication networks, electricity networks etc., which may be beyond our control, we cannot always ensure that the Program operates at all times. However we will make all reasonable efforts to ensure our system supports the operations in connection with the Program. You should not allow access to any other person. We may provide you with new services associated with your membership under the Program from time to time, and these new services will be governed by these Terms and Conditions and the terms and conditions of the respective services. If we are going to terminate the Program, we shall give you at least three (3) months’ notice by mobile SMS, the Dragon Rewards Website and on the Dragon Rewards App (via in-app notification). If you breach or we have reasonable grounds to believe that you have breached these Terms and Conditions, we may suspend or terminate your Dragon Rewards Account / membership and seek to recover any damages that your breach may have caused to us or Our Partners. You must not tamper with the data recorded in your Dragon Rewards App account in any way, which may be a criminal offence. We will not honour transactions and any benefits, including Reward Points, if your Dragon Rewards account has been tampered with. We have the right to claim and recover reasonable costs, expenses, losses and damages suffered or incurred by us or Our Partners as a result of your altering or interfering, or allowing a third party to alter or interfere, with the data in your Dragon Rewards App. We may make changes to these Terms and Conditions from time to time without prior notice to you. A copy of the latest version of these Terms and Conditions will be available on the Dragon Rewards Website and on the Dragon Rewards App. If there is any inconsistency or conflict between the English and Chinese versions, the English version shall prevail. These Terms and Conditions shall be governed by, and construed in accordance with, the laws of the operating country, namely Hong Kong (Special Administrative Region), or the Republic of Singapore.""",,,,“如果您的 Dragon Rewards 應用程序已停用一 (1) 年，為了您自己和我們的保護，我們將認為您的帳戶不再使用。我們將停用您的帳戶和您的所有 累積的獎勵積分將被沒收。您在我們記錄中的個人信息也將被刪除。如果您想重新加入該計劃，您可能需要重新申請新的會員資格。不活躍的定義是在一段時間內沒有發生以下任何類型的交易 :\n<ul><li>充值積分</li><li>積分餘額的使用/支出。</li></ul><br>由於 Dragon Rewards Program 是通過依賴以下系統運作的 在我們無法控制的通信網絡、電力網絡等方面，我們無法始終確保該程序始終運行。但是，我們將盡一切合理努力確保我們的系統支持與該程序相關的操作。您應該 不允許任何其他人訪問。我們可能會為您提供 w 不時與您在本計劃下的會員資格相關的新服務，這些新服務將受這些條款和條件以及相應服務的條款和條件的約束。 如果我們要終止該計劃，我們將通過手機短信、Dragon Rewards 網站和 Dragon Rewards 應用程序（通過應用程序內通知）向您發出至少三 (3) 個月的通知。 如果您違反或我們有合理理由相信您違反了這些條款和條件，我們可能會暫停或終止您的 Dragon Rewards 帳戶/會員資格，並尋求追回您的違反行為可能對我們或我們的合作夥伴造成的任何損失。 您不得以任何方式篡改您龍賞App賬戶中記錄的數據，否則可能構成刑事犯罪。 如果您的 Dragon Rewards 帳戶被篡改，我們將不會兌現交易和任何好處，包括獎勵積分。 由於您更改或乾擾，或允許第三方更改或乾擾您的龍賞中的數據，我們或我們的合作夥伴遭受或招致的合理成本、開支、損失和損害，我們有權索賠和追償 應用程序。 我們可能會不時更改這些條款和條件，恕不另行通知。 這些條款和條件的最新版本的副本將在 Dragon Rewards 網站和 Dragon Rewards App 上提供。 如中英文版本有任何不一致或衝突，概以英文版本為準。 這些條款和條件應受運營國家（即香港（特別行政區）或新加坡共和國）的法律管轄並據其解釋。”,“如果您的Dragon Rewards 应用程序已停用一 (1) 年，为了您自己和我们的保护，我们将认为您的帐户不再使用。我们将停用您的帐户和您的所有累积的奖励积分将被没收。您在我们记录中的个人信息也将被删除。如果您想重新加入该计划，您可能需要重新申请新的会员资格。不活跃的定义是在一段时间内没有发生以下任何类型的交易:\n<ul><li>充值积分</li><li>积分余额的使用/支出。</li></ul><br>由于Dragon Rewards Program 是通过依赖以下系统运作的在我们无法控制的通信网络、电力网络等方面，我们无法始终确保该程序始终运行。但是，我们将尽一切合理努力确保我们的系统支持与该程序相关的操作。您应该不允许任何其他人访问。我们可能会为您提供w 不时与您在本计划下的会员资格相关的新服务，这些新服务将受这些条款和条件以及相应服务的条款和条件的约束。 如果我们要终止该计划，我们将通过手机短信、Dragon Rewards 网站和Dragon Rewards 应用程序（通过应用程序内通知）向您发出至少三(3) 个月的通知。 如果您违反或我们有合理理由相信您违反了这些条款和条件，我们可能会暂停或终止您的Dragon Rewards 帐户/会员资格，并寻求追回您的违反行为可能对我们或我们的合作伙伴造成的任何损失。 您不得以任何方式篡改您龙赏App账户中记录的数据，否则可能构成刑事犯罪。 如果您的Dragon Rewards 帐户被篡改，我们将不会兑现交易和任何好处，包括奖励积分。 由于您更改或干扰，或允许第三方更改或干扰您的龙赏中的数据，我们或我们的合作伙伴遭受或招致的合理成本、开支、损失和损害，我们有权索赔和追偿应用程序。 我们可能会不时更改这些条款和条件，恕不另行通知。 这些条款和条件的最新版本的副本将在Dragon Rewards 网站和Dragon Rewards App 上提供。 如中英文版本有任何不一致或冲突，概以英文版本为准。 这些条款和条件应受运营国家（即香港（特别行政区）或新加坡共和国）的法律管辖并据其解释。”,"""ในกรณีที่แอป Dragon Rewards ของคุณไม่มีการใช้งานเป็นระยะเวลาหนึ่ง (1) ปี เราจะถือว่าบัญชีของคุณไม่มีการใช้งานอีกต่อไป เพื่อปกป้องตัวคุณเองและจากเรา เราจะปิดใช้งานบัญชีของคุณและทั้งหมดของคุณ คะแนนรางวัลที่สะสมไว้จะถูกริบ ข้อมูลส่วนบุคคลของคุณในบันทึกของเราจะถูกลบด้วย คุณอาจต้องสมัครสมาชิกใหม่หากต้องการเข้าร่วมโปรแกรมอีกครั้ง การไม่มีการใช้งานถูกกำหนดโดยช่วงเวลาที่ไม่มีธุรกรรมประเภทใดประเภทหนึ่งต่อไปนี้เกิดขึ้น :\n<ul><li> การเติมคะแนนสะสม</li><li>การใช้/การใช้คะแนนคงเหลือ </li></ul><br>เนื่องจากโปรแกรม Dragon Rewards ดำเนินการผ่านระบบที่อาศัย บนเครือข่ายการสื่อสาร เครือข่ายไฟฟ้า ฯลฯ ซึ่งอาจอยู่นอกเหนือการควบคุมของเรา เราไม่สามารถรับประกันได้ว่าโปรแกรมจะทำงานได้ตลอดเวลา อย่างไรก็ตาม เราจะใช้ความพยายามอย่างเต็มที่เพื่อให้แน่ใจว่าระบบของเราสนับสนุนการดำเนินงานที่เกี่ยวข้องกับโปรแกรม คุณควร ไม่อนุญาตให้เข้าถึงบุคคลอื่นใด ๆ เราอาจให้บริการใหม่ที่เกี่ยวข้องกับการเป็นสมาชิกของคุณภายใต้โปรแกรมเป็นระยะ ๆ และบริการใหม่เหล่านี้จะอยู่ภายใต้ข้อกำหนดและเงื่อนไขเหล่านี้และข้อกำหนดและเงื่อนไขของบริการที่เกี่ยวข้อง หากเราจะยุติโปรแกรม เราจะแจ้งให้คุณทราบล่วงหน้าอย่างน้อยสาม (3) เดือนทาง SMS บนมือถือ เว็บไซต์ Dragon Rewards และบนแอป Dragon Rewards (ผ่านการแจ้งเตือนในแอป) หากคุณฝ่าฝืนหรือเรามีเหตุผลอันควรเชื่อได้ว่าคุณละเมิดข้อกำหนดและเงื่อนไขเหล่านี้ เราอาจระงับหรือยกเลิกบัญชี Dragon Rewards ของคุณ/การเป็นสมาชิก และพยายามกู้คืนความเสียหายใดๆ ที่คุณละเมิดอาจก่อให้เกิดกับเราหรือพันธมิตรของเรา คุณต้องไม่ยุ่งเกี่ยวกับข้อมูลที่บันทึกไว้ในบัญชี Dragon Rewards App ของคุณในทางใดทางหนึ่ง ซึ่งอาจเป็นความผิดทางอาญา เราจะไม่ให้เกียรติการทำธุรกรรมและผลประโยชน์ใดๆ รวมถึงคะแนนรางวัล หากบัญชี Dragon Rewards ของคุณถูกแก้ไข เรามีสิทธิ์เรียกร้องและเรียกคืนต้นทุน ค่าใช้จ่าย ความสูญเสียและความเสียหายที่เราหรือพันธมิตรของเราได้รับหรือเกิดขึ้นตามสมควรอันเป็นผลมาจากการที่คุณแก้ไขหรือแทรกแซง หรืออนุญาตให้บุคคลที่สามแก้ไขหรือแทรกแซงข้อมูลใน Dragon Rewards ของคุณ แอป. เราอาจเปลี่ยนแปลงข้อกำหนดและเงื่อนไขเหล่านี้เป็นครั้งคราวโดยไม่ต้องแจ้งให้คุณทราบล่วงหน้า สำเนาข้อกำหนดและเงื่อนไขฉบับล่าสุดจะมีอยู่ในเว็บไซต์ Dragon Rewards และบนแอป Dragon Rewards หากมีความไม่สอดคล้องกันหรือความขัดแย้งระหว่างเวอร์ชันภาษาอังกฤษและภาษาจีน ให้ยึดเวอร์ชันภาษาอังกฤษเป็นหลัก ข้อกำหนดและเงื่อนไขเหล่านี้อยู่ภายใต้และตีความตามกฎหมายของประเทศที่ดำเนินการ ได้แก่ ฮ่องกง (เขตปกครองพิเศษ) หรือสาธารณรัฐสิงคโปร์""","Jika Aplikasi Dragon Rewards Anda tidak aktif selama jangka waktu satu (1) tahun, demi perlindungan Anda sendiri dan kami, kami akan menganggap akun Anda tidak lagi digunakan. Kami akan menonaktifkan akun Anda dan semua akun Anda akumulasi Poin Hadiah akan hangus. Informasi pribadi Anda dalam catatan kami juga akan dihapus. Anda mungkin perlu mengajukan kembali keanggotaan baru jika Anda ingin bergabung kembali dengan Program. Ketidakaktifan ditentukan oleh periode di mana tidak satu pun dari jenis transaksi berikut ini terjadi :\n<ul><li> Penambahan poin yang dikreditkan</li><li>Penggunaan/Pengeluaran saldo poin. </li></ul><br>Saat Program Hadiah Naga beroperasi melalui sistem yang mengandalkan pada jaringan komunikasi, jaringan listrik, dll., yang mungkin berada di luar kendali kami, kami tidak selalu dapat memastikan bahwa Program beroperasi setiap saat. Namun kami akan melakukan segala upaya yang wajar untuk memastikan sistem kami mendukung pengoperasian sehubungan dengan Program. Anda harus tidak mengizinkan akses kepada orang lain. Kami dapat memberi Anda layanan baru yang terkait dengan keanggotaan Anda dalam Program dari waktu ke waktu, dan layanan baru ini akan diatur oleh Syarat dan Ketentuan ini serta syarat dan ketentuan layanan masing-masing. Jika kami akan menghentikan Program, kami akan memberi Anda pemberitahuan setidaknya tiga (3) bulan sebelumnya melalui SMS seluler, Situs Web Dragon Rewards, dan di Aplikasi Dragon Rewards (melalui pemberitahuan dalam aplikasi). Jika Anda melanggar atau kami memiliki alasan yang masuk akal untuk meyakini bahwa Anda telah melanggar Syarat dan Ketentuan ini, kami dapat menangguhkan atau mengakhiri Akun/keanggotaan Dragon Rewards Anda dan berupaya memulihkan segala kerugian yang mungkin ditimbulkan oleh pelanggaran Anda terhadap kami atau Mitra Kami. Anda tidak boleh mengutak-atik data yang tercatat di akun Aplikasi Dragon Rewards Anda dengan cara apa pun, yang mungkin merupakan pelanggaran pidana. Kami tidak akan menerima transaksi dan keuntungan apa pun, termasuk Poin Reward, jika akun Dragon Rewards Anda telah dirusak. Kami berhak mengklaim dan memulihkan biaya, pengeluaran, kerugian dan kerusakan yang wajar yang diderita atau ditimbulkan oleh kami atau Mitra Kami sebagai akibat dari perubahan atau campur tangan Anda, atau mengizinkan pihak ketiga untuk mengubah atau mengganggu, data di Dragon Rewards Anda Aplikasi. Kami dapat melakukan perubahan terhadap Syarat dan Ketentuan ini dari waktu ke waktu tanpa pemberitahuan sebelumnya kepada Anda. Salinan versi terbaru Syarat dan Ketentuan ini akan tersedia di Situs Web Dragon Rewards dan di Aplikasi Dragon Rewards. Jika terdapat ketidakkonsistenan atau konflik antara versi bahasa Inggris dan versi Mandarin, maka versi bahasa Inggris yang akan berlaku. Syarat dan Ketentuan ini diatur oleh, dan ditafsirkan sesuai dengan hukum negara operasional, yaitu Hong Kong (Wilayah Administratif Khusus), atau Republik Singapura.",
didntReceiveCode,Didn't receive OTP code?,,,,未收到一次性密碼?,未收到一次性密码?,ไม่ได้รับรหัส OTP ใช่ไหม,Tidak menerima kode OTP?,
donate,Make a difference,,,,贡献一份力量,贡献一份力量,สร้างความแตกต่าง,Membuat perbedaan,
done_confirm,Done,,,,完成,完成,เสร็จสิ้น,Selesai,
dontHaveAnAccount,Don't have an account yet,,,,未登記帳號,未登记帐号,ยังไม่มีบัญชี,Belum punya akun,
dragonPoints,Points,,,,龍幣積分,龙币积分,แต้ม,Poin,
e_voucher_summary,E-Voucher:,,,,電子禮劵：,电子礼劵：,บัตรกำนัล E-Voucher,E-Voucher:,
edit,Edit,,,,更改,更改,แก้ไข,Sunting,
einfoChangeMessage1,We use your email contact for account-related verification/enquiries ONLY.,,,,我們僅將您的電子郵件聯繫人用於與帳戶相關的驗證/查詢。,我们仅将您的电子邮件联系人用于与帐户相关的验证/查询。,เราใช้อีเมลของคุณสำหรับการยืนยัน/สอบถามที่เกี่ยวข้องกับบัญชีเท่านั้น,Kami menggunakan kontak email Anda HANYA untuk verifikasi/pertanyaan terkait akun.,
einfoChangeMessage2,It is your responsibility to ensure the account is VALID.,,,,請確保帳戶有效。,请确保帐户有效。,เป็นความรับผิดชอบของคุณในการตรวจสอบให้แน่ใจว่าบัญชีนั้นถูกต้อง,Anda bertanggung jawab untuk memastikan akun tersebut VALID.,
email,email,,,,電郵地址,电邮地址,อีเมล,surel,
email_address,Email Address:,,,,電子郵件地址：,电子邮件地址：,ที่อยู่อีเมล:,Alamat email:,
emailNotifications,Email Notifications,,,,電子郵件通知,电子邮件通知,การแจ้งเตือนทางอีเมล,notifikasi email,
emptytext,Please enter input here,,,,請在此處輸入文字,请在此处输入文字,กรุณาป้อนข้อมูลที่นี่,Silakan masukkan masukan di sini,
english_name,English (US),,,,英文,英文,ภาษาอังกฤษ,Inggris (AS),
enjoyYourRedeemedVouchers,Valid vouchers for use,,,,隨時享用電子禮劵,随时享用电子礼劵,บัตรกำนัล E-Vouchers ที่ใช้งานได้,Voucher yang valid untuk digunakan,
enterCodeSentTo,Enter the code sent to,,,,密碼已發送到,密码已发送到,ป้อนรหัสที่ได้รับ,Masukkan kode yang dikirim ke,
enterPasswordConfirmation,Enter password confirmation,,,,請再次輸入密碼確認,请再次输入密码确认,ป้อนรหัสผ่านเพื่อยืนยัน,Masukkan konfirmasi kata sandi,
everyBitHelps,Help someone in need today!,,,,幫助有需要人士,帮助有需要人士,เริ่่มช่วยผู้คนที่ยากไร้กันตั้งแต่วันนี้!,Bantulah seseorang yang membutuhkan hari ini!,
eVoucher,e-vouchers,,,,電子禮劵,电子礼劵,บัตรกำนัล E-Vouchers,e-voucher,
exchange_unsuccessful,Exchange Unsuccessful!,,,,兌換不成功！,兑换不成功！,แลกเปลี่ยนไม่สำเร็จ!,Pertukaran Tidak Berhasil!,
exchange_voucher_today,Exchange some E-Vouchers today.,,,,立即兌換一些電子優惠券。,立即兑换一些电子优惠券。,แลก E-Voucher วันนี้,Tukarkan beberapa E-Voucher hari ini.,
exp,Exp: {},,,,有效期：{},有效期：{},Exp: {},Kedaluwarsa: {},
expired_voucher,Used / Expired Vouchers,,,,使用過/過期的代金券,使用过/过期的代金券,บัตรกำนัลใช้แล้ว / หมดอายุ,Voucher Bekas / Kedaluwarsa,
expiry,expiry,,,,有效期,有效期,หมดอายุ,kadaluarsa,
facebook,Facebook,,,,Facebook,Facebook,เฟสบุ๊ค,Facebook,
faqTitle,FAQ,,,,常問問題,常问问题,คำถามที่พบบ่อย,Pertanyaan Umum,
fbInfo,Social,,,,公司FB,公司FB,Social,Sosial,
findAKiosk,Find Kiosk,,,,找服務站,找服务站,ค้นหาตู้ฝากเหรียญ,Temukan Kios,
foreignInAV,Add-value (forex),,,,外幣增值,外币增值,,Nilai tambah (forex),
forgotPassword,forgot password,,,,忘記密碼,忘记密码,ลืมรหัสผ่าน,Tidak ingat kata sandi,
generalInfo,General Info,,,,新聞,新闻,ข้อมูลทั่วไป,Informasi Umum,
getOTPOrSignIn,Get OTP / Sign In,,,,領取一次性密碼 / 登入,领取一次性密码 / 登入,รับ OTP / ลงชื่อเข้าใช้,Dapatkan OTP / Masuk,
getPasscode,Obtain top-up passcode,,,,領取增值密碼,领取增值密码,รับรหัสเติมเงิน,Dapatkan kode sandi isi ulang,
getStarted,Get Started,,,,開始,开始,เริ่มต้นใช้งาน,Memulai,
grid,Grid,,,,網格,网格,ตาราง,jaringan,
hello,Hi there :),,,,你好 ：）,你好 ：）,สวัสดีครับ :),"Hai, yang di sana :)",
hide,Hide,,,,隱藏,隐藏,ซ่อน,Bersembunyi,
hint_card_cvc,CVC,,,,CVC,CVC,CVC,CVC,
hint_card_expired,MM/YY,,,,月/年,月/年,ดด/ปป,MM/YY,
home,Home,,,,主頁,主页,หน้าแรก,Rumah,
hongKong,Hong Kong,,,,香港,香港,ฮ่องกง,Hongkong,
howToTitle,How-to Top-Up,,,,增值教學,增值教学,วิธีเติมเงิน,Cara Isi Ulang,
howToTopUp,How to top-up,,,,增值教學,增值教学,วิธีเติมเงิน,Bagaimana cara isi ulang,
instagram,Instagram,,,,Instagram,Instagram,อินสตาแกรม,Instagram,
insufficient_points_kMob,Insufficient Points.\nPlease top up account.,,,,積分不足。\n請增值。,积分不足。 \n请增值。,คะแนนไม่เพียงพอ\nโปรดเติมเงินในบัญชี,Poin Tidak Cukup.\nSilakan isi ulang akun.,
insufficientPoints,Insufficient points.,,,,"抱歉,積分不足以兌換禮劵。","抱歉,积分不足以兑换礼劵。",คะแนนไม่เพียงพอ,Poin tidak mencukupi.,
